student_id,age,gender,academic_level,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,screen_time_hours,sleep_hours,exercise_minutes,caffeine_intake_mg,part_time_job,upcoming_deadline,internet_quality,mental_health_score,focus_index,productivity_score,exam_score,burnout_level
31,20,Male,College,7.93,2.18,3.15,2.61,3.51,8.33,7.3,31,175,0,0,Good,2,29.56,72.11,60.04,5.41
32,19,Other,High School,4.13,0.39,0.76,4.2,0.61,7.87,8.26,50,102,0,1,Average,4,19.74,28.48,72.33,4.9525
33,20,Other,College,9.33,3.98,3.35,4.14,3.5,5.27,8.37,103,493,0,0,Good,3,40.88,92.32,31.56,4.51
34,22,Male,High School,8.57,3.94,4.52,3.46,1.17,6.27,6.29,1,372,0,0,Good,8,48.04,66.22,94.03,3.8600000000000003
35,17,Other,High School,2.49,0.54,0.78,3.51,1.97,3.51,7.65,60,254,0,1,Average,6,19.29,62.41,68.87,3.3425
36,21,Female,College,3.59,2.07,4.97,1.33,0.02,8.72,6.21,40,361,1,1,Good,9,34.16,44.3,35.64,3.7100000000000004
37,17,Female,High School,1.49,0.72,2.06,5.43,3.2,9.43,5.9,88,129,0,0,Average,2,14.74,73.38,2.52,6.74
38,18,Other,College,7.38,1.17,2.59,1.19,0.17,9.23,8.26,19,12,1,1,Average,6,27.39,18.52,92.81,4.04
39,20,Male,College,6.89,2.99,2.81,4.77,3.03,8.79,8.52,67,351,0,1,Good,1,47.98,71.9,88.45,6.01
40,17,Female,College,9.84,1.53,0.99,2.84,1.9,9.17,8.29,73,298,1,1,Average,9,38.54,45.06,6.85,3.68
41,19,Female,High School,9.63,1.16,1.36,4.1,0.32,7.47,6.9,24,204,0,1,Average,8,25.89,49.88,96.55,4.1675
42,19,Male,High School,1.22,0.03,2.98,1.97,0.92,7.29,8.77,8,183,1,1,Poor,4,34.56,89.63,87.04,4.1225000000000005
43,19,Male,College,5.21,1.86,0.22,5.81,0.93,8.93,5.51,53,179,0,1,Good,4,33.98,36.69,74.31,6.3075
44,22,Male,College,6.91,4.38,1.15,3.72,1.83,7.49,6.66,111,181,0,0,Average,3,33.34,80.58,47.7,5.3875
45,17,Male,College,8.5,0.34,0.99,2.15,0.67,9.98,5.48,109,114,0,1,Good,4,47.15,99.36,4.2,5.6625
46,18,Male,High School,6.36,3.01,1.72,3.57,3.45,10.07,8.43,110,310,1,0,Poor,3,19.72,12.51,12.06,5.5525
47,20,Male,College,4.32,3.8,0.42,5.69,0.22,4.07,7.31,26,191,1,0,Average,4,18.97,16.9,27.14,4.612500000000001
48,23,Other,College,6.03,0.47,2.19,3.6,3.41,6.71,8.26,28,181,1,1,Poor,1,15.35,61.01,86.28,5.262499999999999
49,19,Other,College,3.78,0.81,4.57,5.61,3.83,6.94,5.08,119,199,1,1,Good,7,43.97,80.44,28.3,5.1175
50,23,Other,College,1.99,4.65,1.93,3.74,2.2,9.44,7.07,52,330,0,0,Poor,3,15.61,44.13,57.83,5.7775
51,24,Male,College,3.45,4.32,3.09,3.13,2.95,11.76,7.27,34,59,1,0,Good,7,42.07,31.96,14.12,5.155
52,21,Female,College,3.26,2.06,2.68,3.31,2.91,6.48,7.33,52,461,0,0,Good,2,43.92,90.41,36.94,5.115
53,23,Male,College,4.62,2.88,0.41,1.05,1.71,6.73,5.67,98,251,0,1,Good,9,17.85,80.08,54.76,3.2775000000000003
54,24,Female,College,1.62,2.28,1.34,1.39,1.71,10.53,5.37,77,246,0,1,Good,1,27.36,83.62,62.05,6.3875
55,20,Other,High School,5.06,1.18,4.21,1.71,3.75,3.93,7.23,41,168,0,1,Poor,2,41.3,76.07,22.89,4.1025
56,18,Female,College,1.09,3.53,2.23,4.93,2.3,9.78,5.42,74,342,0,1,Poor,7,24.26,14.42,0.83,5.5725
57,21,Male,College,2.07,2.99,0.65,1.27,1.12,8.81,6.59,36,490,0,0,Poor,1,18.18,23.0,70.36,5.6225000000000005
58,23,Other,High School,7.09,4.31,3.62,3.88,0.62,7.02,4.21,67,267,0,0,Average,7,16.94,35.87,49.76,4.922499999999999
59,20,Other,High School,9.1,2.95,3.64,4.2,1.74,9.6,5.47,107,427,0,1,Average,5,49.77,75.94,32.13,5.8325
60,22,Female,High School,3.13,2.07,3.11,2.18,2.77,6.18,7.64,94,278,1,0,Good,3,25.34,62.47,11.28,4.43
61,19,Male,High School,1.43,3.24,0.14,2.52,0.47,8.77,7.53,107,321,1,1,Average,8,27.44,76.5,10.68,3.9399999999999995
62,17,Female,High School,3.38,1.39,1.89,4.73,0.33,11.35,8.58,111,339,1,0,Average,4,31.02,76.88,89.83,5.875
63,18,Female,College,3.33,2.67,2.03,2.54,3.47,7.82,5.78,88,448,0,1,Good,5,10.61,29.56,94.44,4.895
64,24,Female,High School,2.34,0.48,4.35,3.08,3.76,5.96,7.7,58,213,1,1,Average,8,26.6,63.64,50.75,3.335
65,23,Other,College,5.18,1.16,2.82,4.18,3.34,9.1,5.76,60,495,1,1,Average,3,39.33,92.82,85.75,6.13
66,21,Other,College,8.93,4.9,0.26,3.16,3.32,7.23,4.8,48,24,0,0,Good,4,38.87,58.47,1.06,5.3975
67,18,Other,High School,7.65,2.63,3.17,2.29,3.78,5.23,5.15,47,118,0,1,Average,4,41.1,80.3,28.3,4.5925
68,20,Female,High School,5.65,4.12,1.08,4.68,2.03,10.21,8.09,40,246,0,0,Poor,4,44.8,53.67,39.7,5.7
69,23,Male,College,4.28,1.05,4.4,2.24,2.19,4.32,6.74,48,367,0,0,Average,9,38.61,56.77,7.23,2.705
70,23,Female,High School,9.64,3.52,2.44,4.52,3.76,8.0,8.69,26,79,0,1,Average,6,21.67,90.5,79.95,4.4575
71,19,Other,College,9.91,3.96,2.86,1.57,2.31,9.81,7.46,94,16,0,0,Poor,3,27.35,17.28,38.73,5.23
72,20,Male,College,5.62,1.51,4.2,3.08,3.42,10.34,8.29,9,372,0,0,Good,9,27.49,99.55,5.29,4.032500000000001
73,20,Male,High School,6.93,0.03,3.21,2.8,1.68,8.43,5.42,85,355,0,1,Poor,4,24.02,87.22,87.63,5.4525
74,20,Female,College,9.69,3.13,0.13,4.63,0.3,4.57,6.6,112,411,1,0,Poor,6,31.37,71.96,94.03,4.15
75,20,Female,High School,1.72,3.79,1.51,2.29,2.3,7.69,5.06,62,280,1,0,Poor,6,42.98,46.31,81.79,4.73
76,21,Female,College,2.72,4.57,2.31,4.08,3.75,9.43,7.94,51,474,1,1,Good,4,14.77,15.82,39.82,5.3925
77,19,Other,High School,8.57,0.36,3.14,5.61,2.93,4.51,5.71,61,290,0,1,Good,7,14.92,82.78,72.45,4.3525
78,21,Other,High School,5.33,1.92,0.97,2.59,1.11,11.63,4.91,89,395,0,1,Average,4,13.67,47.31,0.14,6.3275
79,21,Other,High School,2.92,2.42,1.49,4.43,1.25,9.42,4.83,43,461,0,1,Poor,3,48.06,81.01,24.0,6.505
80,17,Other,High School,6.6,1.92,3.2,5.53,2.78,10.29,7.74,40,366,0,0,Poor,8,42.78,33.08,53.01,5.02
81,21,Other,High School,1.62,2.79,4.65,2.21,1.58,4.71,6.79,25,176,1,1,Good,4,24.62,87.48,15.02,4.0325
82,24,Female,College,2.31,2.77,4.62,5.76,0.23,9.6,4.64,90,218,0,0,Good,3,29.26,42.63,3.96,6.93
83,17,Male,College,3.9,4.44,3.01,1.97,3.58,11.54,8.49,99,449,0,1,Average,2,23.48,82.98,75.5,5.755
84,22,Male,College,9.04,3.02,2.24,3.49,0.06,10.75,5.08,115,383,1,0,Average,9,47.29,57.26,2.8,5.04
85,24,Other,College,8.98,4.36,0.21,1.89,2.97,6.17,5.71,49,109,1,1,Average,1,18.45,94.34,75.9,5.3375
86,20,Other,High School,2.9,3.15,4.39,5.45,1.29,5.66,5.35,31,134,1,1,Poor,5,37.21,15.86,32.79,5.19
87,22,Other,High School,5.54,1.42,4.19,1.8,2.28,11.44,7.02,9,407,1,1,Poor,1,16.34,17.95,86.2,6.305
88,21,Male,College,3.87,3.78,3.73,1.8,3.48,3.72,7.29,82,85,1,0,Poor,8,27.32,62.81,65.83,2.5575
89,21,Other,College,5.49,1.75,1.42,4.29,3.48,4.03,7.83,38,101,0,1,Good,6,43.24,90.44,96.49,3.6225
90,19,Other,College,4.23,1.23,3.44,4.16,1.35,9.65,4.17,13,188,0,1,Good,9,20.58,27.34,47.06,5.16
91,24,Male,College,6.37,3.62,2.2,4.11,2.84,5.6,7.35,68,51,0,1,Poor,3,41.75,43.44,95.13,4.84
92,20,Female,College,1.26,3.57,3.12,5.9,3.6,5.4,8.61,7,387,1,0,Average,9,23.58,42.38,11.19,3.4225000000000003
93,20,Male,High School,4.97,1.7,1.97,2.15,3.28,5.14,5.27,90,53,0,1,Average,8,11.77,99.97,95.74,3.5050000000000003
94,21,Other,High School,3.98,1.45,2.8,2.63,2.27,4.94,7.65,104,95,1,1,Poor,8,27.22,63.65,31.12,2.98
95,22,Male,College,5.45,0.77,4.99,5.85,3.94,10.82,4.03,106,42,0,0,Poor,5,43.82,62.4,92.14,6.91
96,23,Male,High School,7.01,0.16,3.1,5.19,1.78,7.02,7.88,2,439,1,0,Poor,7,35.38,37.07,58.7,4.3325000000000005
97,22,Male,College,5.84,0.81,4.28,4.23,1.78,10.49,4.87,102,290,1,1,Average,1,39.14,65.68,54.09,7.2125
98,22,Male,High School,3.63,3.3,3.04,2.37,3.35,3.5,7.52,116,153,0,1,Good,6,40.09,86.66,92.54,3.0875000000000004
99,20,Male,High School,7.55,4.82,2.14,1.77,1.67,7.82,5.42,88,355,0,1,Average,1,29.64,24.37,96.87,5.7925
100,23,Other,College,1.14,3.69,0.77,3.21,0.67,7.6,7.32,21,278,1,0,Poor,8,29.82,29.55,25.0,3.8724999999999996
101,20,Female,High School,6.47,3.65,0.27,3.06,2.57,10.37,4.84,55,358,1,0,Good,8,34.01,73.57,73.71,5.1475
102,21,Other,High School,7.26,2.99,2.89,5.82,2.32,10.29,6.52,30,301,1,1,Average,5,29.55,77.56,43.12,6.1475
103,20,Male,College,5.92,4.03,2.46,1.06,0.36,7.1,4.05,9,238,1,0,Poor,3,36.75,97.66,61.49,5.2775
104,21,Male,High School,5.15,2.8,2.27,2.1,0.6,9.61,4.64,68,236,1,1,Good,5,41.15,47.9,83.5,5.5175
105,24,Female,College,9.27,4.23,3.74,3.55,1.93,4.94,4.29,17,286,1,0,Good,4,43.45,68.83,37.76,5.05
106,17,Other,High School,9.37,2.87,4.06,2.72,2.68,4.4,7.1,38,172,1,1,Poor,3,15.9,25.36,78.75,4.255000000000001
107,19,Male,College,1.46,4.05,2.04,5.38,1.05,4.3,5.83,85,164,1,1,Average,5,36.67,38.26,80.0,4.7124999999999995
108,21,Other,College,5.42,2.01,0.62,2.2,2.69,3.99,4.27,112,314,0,1,Average,5,28.88,96.93,96.01,4.23
109,21,Male,High School,4.58,1.72,1.69,5.56,2.4,7.22,6.22,66,88,1,0,Average,7,22.67,39.62,74.33,4.89
110,24,Other,High School,8.3,3.16,2.12,5.79,1.0,7.8,7.61,117,372,0,1,Good,3,32.26,80.19,69.29,5.745
111,18,Male,College,1.67,1.23,2.27,1.79,3.63,6.94,6.72,70,435,0,1,Poor,8,20.2,13.46,60.86,3.5025000000000004
112,18,Female,College,4.58,4.86,4.73,3.97,1.9,9.84,6.07,90,345,0,1,Good,8,11.56,17.78,49.08,4.935
113,17,Other,College,2.94,4.21,0.92,4.53,2.93,8.44,7.1,14,18,0,1,Good,9,12.84,66.9,75.21,4.2175
114,19,Female,College,2.12,4.98,0.19,3.08,0.08,6.29,4.57,119,294,0,1,Average,9,24.14,65.33,93.3,3.9499999999999997
115,17,Other,High School,3.03,2.89,3.82,3.11,1.68,10.65,8.65,33,392,1,0,Average,5,35.1,17.57,24.58,5.0275
116,22,Male,College,7.59,0.97,2.4,2.51,2.74,6.09,7.72,61,327,0,0,Average,9,12.86,62.41,18.59,2.97
117,20,Male,High School,2.56,0.37,4.68,1.61,1.74,7.48,6.81,41,233,1,1,Poor,8,31.95,15.37,16.33,3.5700000000000003
118,22,Other,High School,2.07,0.11,4.62,3.17,3.5,8.31,5.13,18,165,0,1,Good,7,21.62,94.79,88.37,4.8375
119,24,Female,High School,1.78,4.06,4.73,4.54,0.09,4.45,6.71,38,271,0,0,Good,1,23.25,41.31,70.48,5.32
120,21,Female,High School,9.92,1.25,0.5,4.92,0.67,9.79,8.4,1,229,0,1,Poor,5,14.87,66.67,91.02,5.3275
121,24,Other,College,4.49,0.86,4.42,2.23,2.01,7.21,8.74,103,358,0,1,Poor,4,29.45,50.23,28.7,4.175
122,19,Male,High School,7.48,2.99,0.77,1.45,2.66,9.02,6.41,112,232,0,0,Poor,6,31.36,47.33,54.39,4.515
123,19,Other,College,9.13,1.02,0.35,3.93,1.98,9.06,5.3,25,330,1,1,Average,2,15.6,58.0,30.32,6.4225
124,21,Other,College,1.27,0.29,2.38,3.08,1.62,9.22,6.2,30,259,1,1,Poor,6,21.52,73.08,9.7,5.025
125,21,Male,College,3.19,4.44,2.17,3.33,1.83,7.9,7.35,25,167,0,0,Poor,4,37.9,66.88,10.24,4.970000000000001
126,24,Male,High School,2.52,0.08,0.35,2.37,3.26,9.12,6.6,84,415,1,1,Good,5,24.03,77.46,74.24,4.9725
127,22,Male,High School,9.95,0.98,1.99,5.64,3.98,3.38,7.41,67,208,0,1,Good,5,43.26,25.13,19.14,4.1525
128,17,Male,High School,9.31,2.79,1.25,1.32,2.64,7.64,8.94,12,402,1,1,Average,1,48.54,73.3,13.07,4.755
129,20,Female,College,1.17,3.69,0.52,1.94,1.84,3.48,6.1,78,352,1,1,Average,7,40.39,72.05,48.66,3.08
130,24,Male,High School,9.63,0.95,3.43,3.53,3.41,4.86,4.8,18,133,0,0,Average,2,19.69,95.21,63.56,5.3975
131,24,Female,College,2.16,3.08,0.76,3.31,2.52,5.2,4.59,25,55,1,1,Good,7,37.17,17.95,22.53,4.23
132,18,Female,High School,2.14,1.19,0.76,2.8,3.76,7.32,8.01,99,184,0,1,Good,1,12.49,12.22,58.71,5.2775
133,22,Female,High School,2.12,4.34,0.03,1.61,2.31,7.51,8.69,18,230,1,0,Average,7,19.85,92.11,93.42,3.3575
134,22,Other,College,8.14,3.16,4.21,2.27,1.05,5.24,8.28,25,236,1,0,Average,6,29.88,57.94,2.05,3.3075
135,22,Other,High School,5.88,3.32,3.59,2.49,2.66,3.5,8.92,70,364,1,0,Average,3,17.57,50.45,65.0,3.5175
136,20,Female,College,9.76,2.68,1.13,5.49,0.37,3.21,6.01,101,324,1,0,Good,7,26.45,76.2,77.89,3.9225000000000003
137,20,Female,College,9.5,3.85,0.82,1.28,3.18,6.35,7.25,59,21,0,0,Good,6,14.03,85.42,8.63,3.5949999999999998
138,24,Other,College,7.75,0.25,2.28,2.46,2.82,7.15,6.64,117,121,0,0,Average,8,17.1,62.64,49.88,3.7425000000000006
139,23,Other,High School,8.22,0.54,3.67,1.49,2.44,11.04,4.29,77,63,1,1,Poor,6,24.61,87.89,21.73,5.56
140,24,Female,College,1.02,3.95,2.33,1.15,0.28,7.38,6.38,0,102,1,0,Average,5,20.68,20.09,22.32,4.2875
141,22,Male,High School,8.9,0.34,0.67,5.76,0.65,5.76,8.41,54,64,1,0,Good,6,22.67,70.99,53.04,4.2775
142,23,Other,High School,1.76,2.63,4.57,2.21,0.42,4.67,5.35,19,93,0,1,Average,3,17.16,63.56,21.29,4.6325
143,23,Other,High School,5.03,4.59,4.06,3.1,0.91,3.63,7.38,111,164,0,0,Poor,3,43.25,99.02,58.78,4.0875
144,19,Other,High School,6.29,0.42,1.29,3.65,3.45,10.01,5.61,57,14,1,1,Average,5,23.34,63.71,72.39,5.762499999999999
145,19,Other,College,5.13,1.48,0.63,4.01,0.21,3.04,6.64,55,489,0,1,Good,6,16.72,55.54,69.61,3.6025
146,21,Male,College,7.84,0.02,0.44,1.61,1.9,8.36,4.2,84,404,1,0,Poor,5,17.69,47.32,4.17,5.1925
147,22,Other,College,7.78,1.13,4.28,2.34,3.2,10.85,6.25,106,113,1,1,Poor,7,38.18,77.83,68.84,4.984999999999999
148,20,Other,High School,7.31,2.29,3.63,1.42,2.72,4.54,4.98,14,310,1,1,Poor,2,37.35,22.5,42.28,4.744999999999999
149,23,Male,High School,5.69,4.91,2.11,4.7,2.99,7.96,5.94,91,24,0,1,Good,7,37.22,33.24,20.9,4.93
150,17,Other,College,1.35,2.02,4.18,4.42,0.44,7.99,5.53,118,175,0,1,Poor,3,10.56,80.84,63.83,5.970000000000001
151,23,Male,College,9.28,1.68,1.97,5.17,2.74,3.81,8.96,34,216,0,1,Poor,8,22.65,88.45,66.5,3.005
152,23,Male,College,7.92,0.64,1.97,3.58,0.88,11.7,7.97,117,217,1,1,Poor,5,11.05,31.15,50.12,5.577500000000001
153,18,Other,High School,3.46,2.05,3.27,3.43,2.08,11.29,4.82,36,50,1,0,Poor,3,35.25,30.74,7.02,6.725
154,18,Other,College,7.38,0.14,3.32,1.51,0.08,8.66,6.0,107,326,1,0,Poor,4,37.68,79.63,23.24,5.0425
155,21,Male,College,9.36,3.22,1.82,1.0,1.62,11.49,6.95,69,349,0,0,Average,4,41.09,20.58,90.93,5.385
156,21,Male,College,2.18,4.56,2.42,3.26,1.19,8.7,4.53,95,243,0,0,Good,7,14.43,88.31,59.79,5.1075
157,22,Other,College,4.06,3.61,3.0,2.46,0.61,11.37,6.87,5,52,0,1,Average,3,47.96,12.21,93.66,5.99
158,19,Other,High School,2.8,0.37,1.73,3.81,1.9,6.01,5.05,8,458,1,0,Poor,1,35.69,35.06,21.17,5.942500000000001
159,21,Other,College,1.42,0.43,1.34,5.12,0.32,6.22,8.04,101,101,0,1,Average,9,22.72,46.89,44.96,3.575
160,19,Male,College,1.22,3.84,4.72,1.98,0.05,9.43,6.45,45,351,0,1,Average,3,41.24,36.11,93.19,5.49
161,18,Other,College,7.35,2.59,1.33,1.73,3.48,5.54,6.74,103,127,1,1,Good,9,47.69,85.81,70.66,2.8825000000000003
162,22,Female,High School,1.97,3.1,0.17,3.93,3.57,9.71,8.2,111,192,1,0,Good,2,22.51,52.37,88.67,5.86
163,24,Male,College,3.24,1.45,4.72,2.41,2.43,6.12,8.63,86,199,1,0,Good,4,31.15,92.15,41.53,3.9749999999999996
164,22,Female,College,5.61,0.63,1.14,4.25,2.62,6.82,6.32,102,277,0,0,Good,9,33.94,78.65,1.02,3.9375
165,20,Male,High School,8.3,0.33,3.26,1.52,1.47,10.06,8.35,77,26,0,1,Good,6,12.23,79.45,30.54,4.3075
166,19,Female,High School,3.87,2.54,0.19,3.82,2.93,4.26,5.06,28,50,1,1,Average,8,28.9,70.83,0.89,3.755
167,24,Other,College,4.1,4.67,1.1,5.34,1.63,10.48,4.49,115,378,0,1,Good,8,12.59,44.05,66.35,5.8325
168,23,Female,College,7.55,2.83,3.17,5.15,1.18,4.3,4.41,68,170,1,0,Average,1,49.75,38.14,25.11,6.01
169,19,Male,College,9.19,2.7,0.89,5.85,3.99,9.68,4.63,84,455,0,0,Poor,8,40.99,71.09,94.71,5.725
170,19,Male,High School,2.77,3.01,3.78,5.15,1.22,4.69,8.12,83,401,0,0,Poor,3,37.97,12.6,92.09,4.680000000000001
171,22,Female,College,4.91,3.09,1.88,3.26,1.95,6.16,4.63,85,123,1,0,Good,4,46.54,20.2,91.93,5.1975
172,19,Female,College,1.83,2.36,1.24,2.12,0.59,8.36,7.65,62,287,0,0,Good,6,28.95,45.6,78.89,4.2075
173,18,Other,College,5.49,0.03,4.37,3.38,1.41,4.87,8.17,88,353,0,1,Good,7,22.89,57.4,75.34,3.27
174,17,Female,College,6.0,0.65,2.7,5.29,0.72,8.28,5.54,1,250,1,0,Poor,8,21.97,62.56,97.76,5.007499999999999
175,20,Female,College,7.06,0.09,5.0,2.07,1.4,5.83,8.23,29,13,1,0,Average,5,30.25,27.29,58.27,3.6675
176,21,Other,High School,2.65,4.81,1.68,4.03,0.42,4.38,6.47,119,313,1,0,Good,2,27.02,11.28,8.08,4.985
177,19,Other,High School,6.71,1.95,4.04,5.72,2.83,8.86,7.08,54,378,1,1,Average,5,18.94,47.74,82.13,5.625
178,24,Male,High School,7.16,1.84,3.31,3.63,1.93,11.5,4.93,115,484,0,0,Good,4,37.42,12.56,99.53,6.55
179,19,Other,College,9.74,2.22,4.45,3.17,1.74,5.59,8.33,26,419,0,1,Average,4,26.32,62.93,37.56,4.1075
180,22,Male,College,7.52,3.56,3.83,3.59,0.57,6.98,6.98,7,268,0,0,Average,6,23.88,70.5,47.39,4.3975
181,23,Male,High School,9.11,4.64,3.15,1.2,2.09,7.5,6.96,87,38,0,0,Poor,9,11.69,82.29,9.08,3.1849999999999996
182,20,Male,High School,3.24,3.81,4.05,5.69,1.75,7.0,5.34,0,274,0,0,Average,2,39.22,46.25,38.54,6.3375
183,20,Male,College,7.29,4.81,2.84,1.09,0.7,7.65,8.27,118,339,1,1,Good,5,22.25,94.97,91.15,3.8675
184,18,Male,College,5.26,4.32,3.62,1.85,3.82,7.16,7.82,59,317,1,1,Poor,6,45.75,12.91,81.81,3.7975
185,20,Female,College,9.27,1.03,3.33,3.83,2.38,4.98,6.3,82,19,0,0,Poor,1,21.16,82.91,30.94,5.3774999999999995
186,17,Female,High School,6.32,2.59,2.04,3.51,1.25,9.51,5.76,32,455,0,1,Poor,2,21.11,43.36,2.32,6.3149999999999995
187,20,Female,College,9.56,1.01,0.46,1.04,0.61,11.27,7.05,95,138,0,0,Poor,1,18.87,58.83,4.63,6.0649999999999995
188,21,Male,College,1.09,3.16,0.78,2.08,2.15,5.78,4.35,90,21,1,1,Poor,5,39.19,95.48,15.92,4.6274999999999995
189,24,Female,High School,6.8,4.87,4.93,5.73,3.09,3.99,4.92,78,224,0,1,Average,6,12.49,17.68,42.81,4.7
190,18,Other,College,7.04,0.55,1.47,1.67,2.49,6.35,7.84,28,374,0,0,Good,2,42.36,36.86,32.42,4.545
191,21,Other,High School,9.31,0.66,1.88,3.82,0.03,6.23,4.46,107,106,1,1,Good,3,49.09,16.34,47.57,5.6475
192,24,Female,College,5.86,2.67,0.99,2.15,0.75,4.17,5.66,23,93,0,0,Good,3,18.14,15.65,77.4,4.415
193,18,Other,High School,9.0,4.76,0.74,1.77,3.16,8.82,4.94,6,317,1,1,Average,1,31.46,21.47,69.89,6.1625
194,21,Other,College,5.7,3.5,4.75,4.45,3.43,9.62,8.02,30,307,0,1,Poor,4,19.2,24.87,80.4,5.5125
195,18,Other,High School,5.69,2.18,3.57,5.26,1.11,6.57,7.98,9,40,0,0,Good,7,38.4,73.54,94.99,4.2125
196,24,Female,College,3.84,0.41,2.83,4.31,0.26,5.48,7.77,78,218,1,1,Poor,3,42.61,74.13,22.92,4.755
197,22,Female,College,2.51,1.85,3.01,3.12,3.94,9.6,5.01,96,386,1,0,Poor,4,35.06,25.08,84.13,5.9275
198,21,Male,High School,3.72,4.79,4.03,1.49,3.41,6.55,8.83,25,394,1,0,Average,2,36.92,30.7,42.44,4.3025
199,20,Other,College,3.85,4.8,2.53,1.17,2.47,4.3,8.51,97,245,1,0,Good,9,35.73,45.77,60.15,1.99
200,22,Other,College,4.1,2.91,0.8,1.76,2.95,3.56,4.07,0,402,0,0,Poor,8,16.23,51.32,61.03,3.3125
201,23,Other,High School,2.36,1.48,0.27,4.33,0.98,10.22,6.71,54,195,1,0,Poor,4,41.39,46.92,53.98,5.960000000000001
